block,channel,disturbances,Chironomidae,Heptageniidae,Baetidae,Ephemerellidae,Leptophlebiidae,Isonychiidae,Tricorythidae,Caenidae,Zygoptera,Brachycentridae,Molannidae,Leptoceridae,Philopotamidae,Polycentropodidae,Hydropsychidae,Hydroptilidae,Corixidae,Simuliidae,Tipuliidae,Unknown.ColeopteraL,DytiscidaeL,Mollusca,Leuctridae,Perlodidae,Perlidae,Taeniopterygidae,Chloroperlidae,Aeshnidae,Mite,Total
A,1,2,272,28,69,2,1,0,0,0,3,0,0,0,1,3,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,385
A,2,3,230,22,15,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,282
A,3,4,222,29,30,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,288
A,4,1,114,95,27,5,2,1,0,0,0,0,0,2,13,1,30,0,0,0,0,0,0,0,1,1,0,1,0,1,0,295
A,5,8,154,9,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
B,6,2,60,8,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
B,7,1,115,19,2,3,1,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
B,8,3,179,4,9,0,2,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,213
B,9,8,104,3,3,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
B,10,4,122,13,10,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,158
C,11,4,92,8,4,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115
C,12,1,105,41,5,2,1,0,0,1,14,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,175
C,13,2,156,10,17,3,1,0,0,0,5,0,0,0,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,200
C,14,3,72,1,0,0,1,0,0,0,16,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
C,15,8,59,1,4,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
